Date,Title,Image
9 اکتوبر 2022,موجودہ پاکستان یا اٹھارہویں صدی کا ہندوستان,https://ichef.bbci.co.uk/news/240/cpsprodpb/16EB7/production/_126397839_2857a9b7-1aef-4873-b765-c87a48d3dd66.jpg
9 اکتوبر 2022,’بھائی کا لین دین کا معاملہ تھا لیکن اس کی سزا قتل تو نہیں ہو سکتی‘,https://ichef.bbci.co.uk/news/240/cpsprodpb/0020/production/_127023000_6896233d-eade-4618-bddc-3b1793fa3dc4.jpg
9 اکتوبر 2022,کرتارپور: جہاں لوگ مسائل اور سرحدوں کی فکر چھوڑ کر اپنوں سے ملنے آتے ہیں,https://ichef.bbci.co.uk/news/240/cpsprodpb/EA76/production/_127022006_aa023621-5a6a-41c2-b26d-6fd4b67ea5a4.jpg
9 اکتوبر 2022,جرمنی کا کشمیر پر بیان: کیا مغربی ممالک انڈیا سے ناراض ہو گئے ہیں؟,https://ichef.bbci.co.uk/news/240/cpsprodpb/F9A8/production/_127021936_75b31873-3162-44c5-beee-9e1d3243aba0.jpg
9 اکتوبر 2022,زر سانگہ: خیمے میں رہنے پر مجبور پشتو گلوکارہ کے لیے عالمی ایوارڈ,https://ichef.bbci.co.uk/news/240/cpsprodpb/AC81/production/_127016144_zarsanga.jpg
9 اکتوبر 2022,’امداد کے بدلے بیٹے کی لاش گھر آئی‘,https://ichef.bbci.co.uk/news/240/cpsprodpb/12FEA/production/_127020877_newproject.jpg
8 اکتوبر 2022,شیخوپورہ: گھروں سے باہر سوئے ہوئے آٹھ افراد کلہاڑی کے وار سے قتل، ملزم گرفتار,https://ichef.bbci.co.uk/news/240/cpsprodpb/D4B3/production/_127015445_mediaitem127016079.jpg
8 اکتوبر 2022,دیامر: مسلح گروہ سے مذاکرات کے بعد سینیئر وزیر سمیت تمام یرغمالی رہا,https://ichef.bbci.co.uk/news/240/cpsprodpb/18219/production/_127014889_mediaitem127014887.jpg
8 اکتوبر 2022,کیا مبینہ آڈیو لیکس عمران خان کی مقبولیت پر اثر انداز ہوں گی؟,https://ichef.bbci.co.uk/news/240/cpsprodpb/9F36/production/_125785704_mediaitem125784245.jpg
8 اکتوبر 2022,پنجاب میں بچوں کے اغوا کے بڑھتے واقعات میں کتنی صداقت ہے؟,https://ichef.bbci.co.uk/news/240/cpsprodpb/16D0B/production/_127015439_gettyimages-113854240.jpg
